iter	Passed	Remaining
432	590	773
433	591	771
434	592	769
435	593	767
436	594	765
437	594	763
438	595	760
439	596	758
440	596	756
441	597	754
442	598	752
443	599	750
444	600	749
445	601	747
446	602	745
447	603	743
448	603	740
449	604	738
450	604	736
451	605	734
452	607	733
453	608	731
454	609	729
455	609	727
456	610	725
457	612	724
458	613	722
459	614	721
460	615	720
461	617	718
462	618	716
463	619	715
464	620	713
465	621	712
466	622	710
467	623	708
468	623	706
469	624	704
470	625	702
471	626	700
472	627	698
473	628	697
474	629	695
475	629	693
476	630	691
477	631	689
478	631	687
479	632	685
480	633	683
481	633	681
482	634	679
483	635	677
484	636	675
485	637	673
486	637	671
487	638	669
488	639	668
489	640	666
490	641	664
491	642	663
492	643	661
493	644	659
494	644	657
495	645	655
496	646	654
497	646	652
498	647	650
499	648	648
500	650	647
501	651	646
502	651	644
503	652	642
504	653	640
505	654	638
506	654	636
507	655	634
508	656	633
509	657	631
510	658	629
511	658	627
512	659	626
513	660	624
514	660	622
515	661	620
516	662	618
517	662	616
518	664	615
519	665	614
520	666	612
521	667	610
522	667	609
523	668	607
524	669	605
525	670	603
526	670	602
527	671	600
528	672	598
529	672	596
530	673	594
531	674	593
532	675	591
533	675	589
534	676	587
535	677	586
536	677	584
537	679	583
538	680	582
539	681	580
540	682	578
541	682	576
542	683	575
543	684	573
544	685	572
545	685	570
546	686	568
547	687	566
548	687	565
549	688	563
550	689	561
551	690	560
552	690	558
553	691	556
554	692	555
555	692	553
556	694	552
557	696	551
558	697	550
559	698	548
560	699	547
561	700	545
562	701	544
563	701	542
564	702	540
565	703	539
566	704	538
567	705	536
568	707	535
569	709	535
570	710	533
571	710	531
572	711	530
573	712	528
574	713	527
575	713	525
576	714	523
577	715	522
578	716	520
579	716	519
580	717	517
581	718	515
582	718	514
583	719	512
584	720	510
585	720	509
586	721	507
587	722	506
588	725	506
589	727	505
590	727	503
591	728	502
592	729	501
593	730	499
594	731	497
595	732	496
596	733	494
597	733	493
598	734	491
599	735	490
600	735	488
601	736	487
602	737	485
603	738	484
604	739	483
605	740	481
606	741	479
607	741	478
608	742	476
609	743	475
610	744	474
611	745	472
612	746	471
613	747	469
614	747	468
615	748	466
616	749	464
617	749	463
618	750	461
619	751	460
620	751	458
621	753	457
622	754	456
623	755	454
624	755	453
625	756	452
626	757	450
627	757	448
628	758	447
629	759	446
630	760	444
631	760	443
632	761	441
633	762	440
634	763	438
635	763	437
636	764	435
637	765	434
638	765	432
639	766	431
640	767	429
641	768	428
642	769	427
643	769	425
644	770	424
645	771	422
646	771	421
647	772	419
648	773	418
649	774	416
650	774	415
651	775	413
652	776	412
653	777	411
654	778	409
655	778	408
656	779	406
657	780	405
658	780	403
659	781	402
660	783	401
661	784	400
662	785	399
663	786	397
664	786	396
665	787	395
666	788	393
667	791	393
668	792	391
669	793	390
670	794	389
671	796	388
672	798	387
673	799	386
674	803	386
675	805	386
676	807	385
677	809	384
678	812	384
679	813	382
680	814	381
681	815	380
682	817	379
683	818	378
684	820	377
685	820	375
686	822	374
687	823	373
688	823	371
689	824	370
690	828	370
691	829	369
692	830	368
693	832	367
694	834	366
695	835	364
696	835	363
697	837	362
698	838	361
699	840	360
700	846	360
701	850	360
702	851	359
703	852	358
704	853	356
705	854	355
706	854	354
707	855	352
708	857	351
709	858	350
710	859	349
711	860	347
712	860	346
713	862	345
714	863	344
715	864	342
716	865	341
717	866	340
718	867	339
719	868	337
720	870	336
721	872	336
722	873	334
723	874	333
724	875	332
725	876	330
726	877	329
727	878	328
728	879	326
729	879	325
730	880	324
731	881	322
732	882	321
733	883	320
734	885	319
735	887	318
736	888	317
737	889	315
738	890	314
739	890	313
740	891	311
741	892	310
742	893	308
743	893	307
744	894	306
745	895	304
746	895	303
747	896	302
748	897	300
749	898	299
750	898	297
751	899	296
752	900	295
753	900	293
754	902	292
755	903	291
756	903	290
757	904	288
758	905	287
759	905	286
760	906	284
761	907	283
762	908	282
763	908	280
764	909	279
765	910	278
766	911	276
767	911	275
768	912	274
769	913	272
770	914	271
771	914	270
772	915	268
773	917	267
774	917	266
775	918	265
776	919	263
777	920	262
778	920	261
779	921	259
780	922	258
781	923	257
782	924	256
783	925	254
784	926	253
785	927	252
786	927	251
787	928	249
788	928	248
789	929	247
790	930	245
791	931	244
792	932	243
793	933	242
794	934	240
795	934	239
796	935	238
797	936	236
798	937	235
799	937	234
800	938	233
801	939	231
802	939	230
803	940	229
804	941	228
805	942	226
806	943	225
807	944	224
808	944	223
809	946	222
810	947	220
811	948	219
812	948	218
813	949	216
814	950	215
815	950	214
816	951	213
817	952	211
818	953	210
819	953	209
820	954	208
821	955	206
822	956	205
823	957	204
824	957	203
825	958	201
826	959	200
827	959	199
828	961	198
829	962	197
830	963	195
831	963	194
832	964	193
833	965	192
834	965	190
835	967	189
836	967	188
837	968	187
838	969	186
839	970	184
840	971	183
841	972	182
842	973	181
843	974	180
844	977	179
845	977	177
846	978	176
847	979	175
848	979	174
849	980	173
850	981	171
851	982	170
852	983	169
853	983	168
854	984	166
855	985	165
856	985	164
857	986	163
858	987	162
859	987	160
860	988	159
861	989	158
862	990	157
863	991	156
864	992	154
865	993	153
866	993	152
867	994	151
868	995	150
869	996	148
870	997	147
871	998	146
872	999	145
873	1000	144
874	1001	143
875	1001	141
876	1002	140
877	1003	139
878	1003	138
879	1004	136
880	1006	135
881	1007	134
882	1008	133
883	1009	132
884	1010	131
885	1011	130
886	1012	129
887	1013	127
888	1014	126
889	1014	125
890	1015	124
891	1016	123
892	1017	121
893	1017	120
894	1018	119
895	1019	118
896	1020	117
897	1021	116
898	1022	114
899	1022	113
900	1023	112
901	1024	111
902	1025	110
903	1026	108
904	1026	107
905	1027	106
906	1028	105
907	1029	104
908	1029	103
909	1030	101
910	1031	100
911	1032	99
912	1033	98
913	1035	97
914	1036	96
915	1037	95
916	1038	94
917	1039	92
918	1040	91
919	1041	90
920	1042	89
921	1043	88
922	1043	87
923	1044	85
924	1045	84
925	1046	83
926	1046	82
927	1049	81
928	1051	80
929	1052	79
930	1053	78
931	1054	76
932	1055	75
933	1056	74
934	1057	73
935	1058	72
936	1059	71
937	1059	70
938	1060	68
939	1061	67
940	1064	66
941	1066	65
942	1067	64
943	1068	63
944	1069	62
945	1070	61
946	1070	59
947	1071	58
948	1072	57
949	1073	56
950	1073	55
951	1074	54
952	1075	53
953	1079	52
954	1081	50
955	1082	49
956	1083	48
957	1084	47
958	1085	46
959	1086	45
960	1087	44
961	1087	42
962	1090	41
963	1092	40
964	1094	39
965	1095	38
966	1095	37
967	1096	36
968	1097	35
969	1098	33
970	1099	32
971	1100	31
972	1101	30
973	1103	29
974	1103	28
975	1104	27
976	1105	26
977	1106	24
978	1109	23
979	1111	22
980	1112	21
981	1113	20
982	1114	19
983	1114	18
984	1115	16
985	1116	15
986	1117	14
987	1118	13
988	1118	12
989	1119	11
990	1120	10
991	1120	9
992	1123	7
993	1124	6
994	1125	5
995	1125	4
996	1126	3
997	1127	2
998	1128	1
999	1129	0
